Прізвище;Ім'я;По-батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Гавриленко;Арсен;Тимофійович;Чоловік;1984-05-09;Парфюмер;село Радивилів;парк Чубаївський, буд. 515, Косів, 90524;552-24-76;olena75@example.org
Ґерус;Ярослава;Ярославівна;Жінка;1957-08-17;Вчитель;село Вільногірськ;площа Улітіна, буд. 976 кв. 3, Луганськ, 35072;+380 42 596-43-90;oolifirenko@example.com
Супруненко;Людмила;Юріївна;Жінка;1965-05-13;Археолог;село Березне;набережна Зелена гірка, буд. 8 кв. 08, Новояворівськ, 40956;606-12-19;alina81@example.com
Романчук;Борис;Євгенович;Чоловік;1976-05-30;Промисловець;місто Трускавець;набережна Радісна, буд. 22 кв. 14, Українка , 33602;+380 28 414 58 01;prokopovychtrokhym@example.net
Карпенко;Володимир;Олександрович;Чоловік;2006-03-02;Маркетолог;хутір Мар'їнка;сквер Романа Кармена, буд. 883, Молочанськ, 42647;836 25 89;zakusyloiosyp@example.net
Ващенко;Розалія;Володимирівна;Жінка;1971-12-24;Скульптор;хутір Олександрівськ;вулиця Шишкіна, буд. 5 кв. 4, Перечин, 49970;+380 41 280 83 95;arkhymovychemiliia@example.org
Макогон;Софія;Олександрівна;Жінка;1942-06-21;Піаніст;хутір Керч;вулиця Докова, буд. 264, Снятин, 61111;059 999-59-43;sviatoslavashamrai@example.net
Дергач;Ірена;Сергіївна;Жінка;1955-06-30;Кінокритик;хутір Луцьк;провулок Алмазна, буд. 456 кв. 7, Приморськ (Україна), 65925;941 75 76;illia41@example.net
Ющенко;Одарка;Євгенівна;Жінка;1965-03-28;Етнограф;хутір Бориспіль;парк Степана Разіна, буд. 9, Яготин, 14079;006 112 45 70;shabliihlib@example.net
Цісик;Тимофій;Федорович;Чоловік;1943-08-17;Економіст;хутір Яворів;парк Литовська, буд. 17 кв. 325, Охтирка, 24999;065 507 99 51;demian57@example.org
Цюцюра;Єва;Петрівна;Жінка;1976-06-25;Реабілітолог;хутір Лисичанськ;парк Гагаріна, буд. 0 кв. 4, Червоноград, 88901;395 88 99;xduplii@example.org
Захарченко;Миколай;Михайлович;Чоловік;1980-09-24;Архітектор;село Марганець ;площа Дукова, буд. 4, Заліщики, 45823;088 229-78-27;carkhymovych@example.net
Кабаненко;Олександр;Федорович;Чоловік;1978-08-18;Педагог;хутір Великі Мости;проспект Сімферопольська, буд. 2, Кадіївка, 51677;777-32-34;bazavluchenkodanylo@example.net
Ірванець;Юстина;Тимофіївна;Жінка;1958-12-06;Фермер;село Ізмаїл;набережна Косий, буд. 4 кв. 543, Перевальськ, 24888;+380 39 674 86 60;odrozd@example.org
Фурс;Лариса;Дмитрівна;Жінка;1967-10-18;Скульптор;село Дубно;провулок Новомосковська дорога, буд. 5 кв. 305, Яготин, 57031;014 129-35-10;sirobabadanna@example.com
Бебешко;Олександр;Євгенович;Чоловік;1980-05-26;Економіст;хутір Лисичанськ;набережна Одеський, буд. 8 кв. 304, Жидачів, 84615;027-09-75;vakarchukvira@example.org
Сацюк;Охрім;Андрійович;Чоловік;1958-03-01;Єгер;місто Рудки;провулок Альпіністів, буд. 48 кв. 92, Зимогір'я, 76721;049 754-05-84;fkorbut@example.net
Удовиченко;Веніямин;Володимирович;Чоловік;1969-12-13;Футболіст;місто Славута;вулиця Український 1-й, буд. 34, Вишгород, 59082;799 48 30;akhrystenko@example.org
Сіробаба;Юстим;Андрійович;Чоловік;1958-08-03;Журналіст;хутір Іллінці;парк Травневий 2-й, буд. 7 кв. 482, Тальне, 03446;065 530 84 60;vasylechkoalevtyn@example.net
Міщенко;Сніжана;Дмитрівна;Жінка;1991-12-27;Футболіст;місто Білопілля;парк Шептицікого, буд. 204 кв. 30, Кам'янське, 74093;+380 73 453-74-74;liudmyla73@example.net
Тригуб;Мілена;Юріївна;Жінка;1942-08-27;Антрополог;село Ужгород;площа Північний, буд. 5, Кіцмань, 36328;437-33-66;skybapavlo@example.net
Ярош;Пантелеймон;Кузьмич;Чоловік;1992-03-30;Мікробіолог;місто Шумськ;сквер Усатівська, буд. 6 кв. 72, Ужгород, 61877;+380 (42) 896-39-78;jchalenko@example.org
Єсипенко;Миколай;Ярославович;Чоловік;2004-09-06;Математик;місто Охтирка;набережна Флотська, буд. 920, Виноградів, 01193;016 643-26-36;opanas85@example.net
Шутько;Оксана;Михайлівна;Жінка;1987-01-31;Продюсер;хутір Білицьке;вулиця Пестеля, буд. 27 кв. 3, Бар, 58822;+380 52 442 39 95;petrykmyroslav@example.org
Верменич;Ярослав;Анатолійович;Чоловік;1940-12-25;Футболіст;хутір Шепетівка;провулок 13-та Лінія 6-й ст. Люстдорфської дороги, буд. 2, Здолбунів, 50831;070 072-45-57;kamillaavramchuk@example.net
Андрійович;Камілла;Євгенівна;Жінка;1948-06-20;Реабілітолог;село Дружба ;провулок Вапняний 1-й, буд. 8, Чистякове, 88627;+380 48 443-80-86;stefansavenko@example.com
Копитко;Надія;Володимирівна;Жінка;1969-11-17;Медик;хутір Донецьк;набережна Павлова, буд. 790 кв. 069, Перещепине, 28887;+380 23 566-10-81;iosyptsiutsiura@example.net
Малик;Степан;Сергійович;Чоловік;1985-05-04;Громадський діяч;селище Мала Виска;площа Новікова 2-га, буд. 5, Бердянськ, 23538;401 05 67;serhiirebryk@example.org
Єрченко;Аліна;Борисівна;Жінка;1943-03-30;Парфюмер;місто Гірник ;шосе Білоруська, буд. 763 кв. 0, Тячів, 90403;+380 60 379 33 23;klymentkhrystych@example.net
Єрошенко;Віталій;Борисович;Чоловік;1947-01-06;Фотограф;місто Горлівка;вулиця Міцкевича, буд. 282, Першотравенськ, 52342;+380 57 715-04-86;ievhen08@example.net
Дейсун;Богуслав;Тимофійович;Чоловік;1954-04-06;Стоматолог;хутір Путивль;узвіз Виноградний тупик, буд. 015 кв. 63, Калуш, 60970;016 889-15-51;ukharchenko@example.net
Яремчук;Златослава;Андріївна;Жінка;1979-09-28;Біолог;місто Корсунь-Шевченківський;проспект Прокатна, буд. 73, Дрогобич, 41386;+380 (91) 592-16-27;zabilaalevtyn@example.org
Савенко;Владислав;Кузьмич;Чоловік;1970-03-15;Письменник;хутір П'ятихатки;узвіз Кустанайський 2-й, буд. 894 кв. 51, Соледар, 46361;931 74 74;rostyslavrak@example.net
Сиротенко;Павло;Михайлович;Чоловік;1994-02-27;Клавішник;село Ясинувата;провулок Світла, буд. 8 кв. 317, Любомль, 61813;+380 90 763-26-05;ymatviienko@example.com
Чаленко;Мартин;Олександрович;Чоловік;1950-07-26;Драматург;місто Ямпіль;сквер Онезька, буд. 93 кв. 60, Тараща, 56280;057 346-34-28;danyliukhordii@example.com
Данчук;Юхим;Михайлович;Чоловік;1952-02-13;Астрофізик;хутір Білицьке;площа Станційна 2-га, буд. 4 кв. 903, Українка , 87384;+380 95 186-48-19;iakiv82@example.com
Гоголь;Охрім;Олександрович;Чоловік;1944-04-03;Зоолог;селище Перевальськ;вулиця Чорноморський 2-й, буд. 774 кв. 27, Сторожинець, 47479;064 028 92 28;adabezborodko@example.org
Девдюк;Марʼяна;Кузьмівна;Жінка;1999-11-22;Математик;село Новоград-Волинський;сквер Пейзажна, буд. 1, Саки , 35794;+380 89 533-90-08;yshelest@example.org
Гаврилюк;Владислав;Олександрович;Чоловік;1990-02-08;Ветеринар;хутір Скалат;шосе Зелена балка, буд. 61 кв. 45, Обухів, 63081;009 836 77 60;sviatoslavafranko@example.com
Дрозденко;Венедикт;Федорович;Чоловік;1999-10-05;Футболіст;місто Пологи ;шосе Корнюшина, буд. 0, Збараж, 49766;596 26 59;mykolai69@example.net
Захарченко;Орина;Юріївна;Жінка;1991-07-22;Музикант;хутір Гнівань;площа Академіка Корольова, буд. 113 кв. 89, Соснівка , 94328;791-90-12;kolodubkhoma@example.com
Фаренюк;Галина;Федорівна;Жінка;1955-12-24;Швачка;місто Пустомити;сквер Чорноморський 12-й, буд. 8, Зоринськ, 25211;186 73 23;liza82@example.org
Ящук;Еріка;Юріївна;Жінка;1963-03-27;Шериф;хутір Лутугине;парк Акордна, буд. 42, Вільногірськ, 54066;+380 (41) 918-91-49;hennadiimykytiuk@example.net
Черненко;Дарина;Іванівна;Жінка;1952-03-05;Провізор;місто Надвірна;провулок Мукачівський, буд. 194 кв. 460, Кобеляки, 47037;016 720-60-25;liarema@example.com
Сімашкевич;Світлана;Сергіївна;Жінка;1973-03-17;Швачка;місто Луганськ;вулиця Марії Демченко 2-й, буд. 57 кв. 316, Українськ, 04953;+380 (42) 565-95-72;leonidriabovil@example.com
Фастенко;Олена;Володимирівна;Жінка;1976-01-06;Кінолог;село Лозова ;проспект Головківська, буд. 5 кв. 99, Олевськ, 61191;446 38 19;trokhym64@example.net
Євдокименко;Анастасія;Євгенівна;Жінка;1947-11-05;Мірошник;місто Вараш;проспект Басейний 1-й, буд. 532, Апостолове, 23835;034 400-37-90;ieroshenkoorysia@example.com
